keyword,category,tags,notes
NWD-526099XXXXXX1943,ATM Withdrawal,,
ATW-526099XXXXXX1943,ATM Withdrawal,,
act broadband,Bills,,ACT broadband
apepdcl,Bills,,APEPDCL Paltheru electricity bill
eastern power,Bills,,APEPDCL Paltheru electricity bill
bescom,Bills,,BESCOM Paltheru electricity bill
dreamplug,Bills,,cred
jiotelecom,Bills,,jio recharge
reliance jio,Bills,,jio recharge
airtel,Bills,,airtel recharge
paytm payments utility,Bills,,
water bill,Bills,,water bill
drinkprime,Bills,,water bill
VODAFONEIDEA,Bills,,amma recharge
dlocal,Donation,,wikipedia
eggs,Egg & Meat,,
egg,Egg & Meat,,
meat,Egg & Meat,,
fish,Egg & Meat,,
chicken,Egg & Meat,,
mutton,Egg & Meat,,
prawns,Egg & Meat,,
licious,Egg & Meat,,
delightful gourmet,Egg & Meat,#Licious,
spotify,Entertainment,#spotify #subscription,
youtube,Entertainment,,
netflix,Entertainment,#Subscription,
pvrcinemas,Entertainment,,movies
bookmyshow,Entertainment,#BookMyShow,movies
book my show,Entertainment,#BookMyShow,movies
cinepolis,Entertainment,,cinepolis
hotstar,Entertainment,#Subscription,hotstar subscription
entertainment,Entertainment,,
district,Entertainment,#District,
food,Food & Dining,,
dining,Food & Dining,,
zomato,Food & Dining,#Zomato,
swiggy,Food & Dining,#Swiggy,
bundl,Food & Dining,,
biryani,Food & Dining,,
biriyani,Food & Dining,,
eatsure,Food & Dining,,
hospitality,Food & Dining,,
mc donalds,Food & Dining,,mc donalds
mcdonalds,Food & Dining,,mc donalds
tea,Food & Dining,,tea
estaa sweets,Food & Dining,,Estaa sweets
meghana foods,Food & Dining,,meghana foods
restaurant,Food & Dining,,
BABAI TIFFINS,Food & Dining,,
veggie,Fruits & Vegetables,,
veggies,Fruits & Vegetables,,
vegetable,Fruits & Vegetables,,
vegetables,Fruits & Vegetables,,
fruit,Fruits & Vegetables,,
fruits,Fruits & Vegetables,,
lemon,Fruits & Vegetables,,
lemons,Fruits & Vegetables,,
coconut,Fruits & Vegetables,,
tomato,Fruits & Vegetables,,
banana,Fruits & Vegetables,,
fresh mart,Fruits & Vegetables,,
petrol,Fuel,,
fuel,Fuel,,
gurukrupa,Fuel,,
petrol,Fuel,,
iocl,Fuel,,
filling,Fuel,,
fuelling,Fuel,,
groceries,Groceries,,
grocery,Groceries,,
bigbasket,Groceries,#Bigbasket,
innovative retail,Groceries,#Bigbasket,
bbnow,Groceries,#Bigbasket,
geddit,Groceries,#Zepto,
zepto,Groceries,#Zepto,
grofers,Groceries,#Blinkit,
blinkit,Groceries,#Blinkit,
curd,Groceries,,
milk,Groceries,,
hyper market,Groceries,,
hypermarket,Groceries,,
InnovativeRetailConceptBangalore,Groceries,#Bigbasket,
dmart,Groceries,#dmart,
KPN FARM FRESH,Groceries,#KPNFresh,
KpnFarmFreshPvtLtd,Groceries,#KPNFresh,
SWIGGY.STORES,Groceries,#SwiggyInstamart,
swiggy instamart,Groceries,#SwiggyInstamart,
FRESHALICIOUS,Groceries,#FthDaily
health,Health,,
tablet,Health,,
medicine,Health,,
jas dento,Health,,dentist
ayurveda,Health,,ayurveda
amma,Household,,for amma paltheru
household,Household,,
pooja,Household,#pooja,
iron,Household,,
flower,Household,,
ikea,Household,,
equity mutual fund,Investments,#MutualFunds,long term - equity mutual funds
smallcase stocks,Investments,#Stocks,long term - indian stocks
adhoc stocks,Investments,#Stocks,long term - indian stocks
us stocks,Investments,#USStocks,long term – us stocks
nps trust,Investments,,NPS
stan chart bank,Investments,#EmergencyFund #PersonalLoan,tataji babai loan - emergency fund / house goal
elss mutual funds,Investments,#MutualFunds,tax saving - ELSS mutual funds
health insurance,Investments,#MutualFunds,tax saving - health insurance
term insurance,Investments,,tax saving - term insurance
vacation goal,Investments,,vacation goal
NET BANKING SI -DHATHRI,Investments,#SSY,
khazana,Investments,#KhazanaGoldScheme,
RAZORPAY_OZOSTSBWL5TJ78,Investments,#TermInsurance,tax saving - term insurance
plot loan,Loan,#PlotLoan,SBI Plot loan
car emi,Loan,#CarLoan,
lichousingfinanceltd,Loan,#HomeLoan,
kropex auto,Maintenance,,car maintenance
maintenance,Maintenance,,
misc,Misc,,
toy,Misc,,
toys,Misc,,
bharatpe,Misc,,
cashmycar,Misc,,olx
emergency fund,Others,#MonthlyBuffer,short term - monthly buffer & emergency fund
house goal,Others,#MonthlyBuffer,
salon,Personal Care,,
hair cut,Personal Care,,
hetzner,Productivity,,hetzner
apple,Productivity,#apple #subscription,
namecheap,Productivity,,
zoho,Productivity,,
rent,Rent,,
whizdm innovations,Salary,,
whizdm,Salary,,
shopping,Shopping,,
ajio,Shopping,#Ajio,
flipkart,Shopping,#Flipkart,
meesho,Shopping,#Meesho,
dress circle,Shopping,,clothes shopping
reliance retail,Shopping,#Ajio,clothes shopping
klm fashion,Shopping,,clothes shopping
FASTAG,Travel,#Fastag,
auto,Travel,,
cab,Travel,,
OLACABS,Travel,#ola,
rapido,Travel,#rapido,
uber,Travel,#uber,
irctc,Travel,#irctc,
indian railway,Travel,#irctc,train tickets
travel,Travel,,
indigo,Travel,,flight tickets
abhibus,Travel,#AbhiBus,bus tickets
